Person,About,Page url,Picture url
Reid Hoffman,"Back in 2004, when Mark Zuckerberg and I were starting Facebook, Reid Hoffman was the first person we called to fund the company. There has always been something different about Reid, owing to his gregarious good nature, honest advice and keen intellect. He set us up with Peter Thiel and suggested that Peter join the Facebook board; Reid was too busy launching LinkedIn, but he agreed to give us our first funding anyway.Reid has tirelessly worked to channel the capabilities of social media toward a more productive purpose. LinkedIn succeeded in connecting the professional world, enabling social mobility on an unprecedented scale. The result was a revolution; the world was suddenly a much smaller, much more connected and ultimately much more productive place. And Reid remains a magnet for the smartest, most creative people looking to change the world through technology.Parker is an entrepreneur, investor, and investor",http://time.com/3822665/reid-hoffman-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/reid-hoffman-time-100-2015-titans.jpg?quality=75&strip=color&w=1100
Kim Kardashian West,"Kim Kardashian West is a media phenomenon. She has 29 million followers on Instagram and 31 million followers on Twitter, and her E! show, Keeping Up With the Kardashians, is considered appointment TV by a large and diverse audience.Why? Why? Why? we might ask ourselves. Here are some very good reasons.Beautiful in an exotic, totally exaggerated way, Kim exudes energy, sexuality, drama, determination, impetuousness and happiness. But she and her famous, entrepreneurial siblings—shepherded by a savvy, tireless matriarch—have also expanded the very definition of family.The Kardashians are a totally modern construct. They are a blended family, of Armenian descent, with biracial pairings (Kim is married to Kanye West) and a reportedly transgender parent. They work hard, and they stick together through thick and thin.Despite the flamboyance, the self-aggrandizement and the self-promotion (Kim set out to break the Internet by baring her bum in an extraordinary photograph), Kim comes across as an enviable big sister in a clan where everyone seems to love one another. Are they indeed today’s Brady Bunch?Where does Kim go from here? There seem to be very few barriers to further explosive success.Stewart is the founder of Martha Stewart Living Omnimedia, an Emmy-winning TV host and a best-selling author",http://time.com/3822676/kim-kardashian-west-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/kim-kardashian-time-100-2015-titans.jpg?quality=75&strip=color&w=814
Janet Yellen,"As the leader of the most important central bank in the world, Janet Yellen can impact economies around the globe. In Washington, where political wrangling often leads to paralysis, her Federal Reserve can actually decide and act.Janet is special, being the first woman to occupy her job. She is a trailblazer. I cheer for Janet when watching her in action, and it’s a privilege to discuss research and policy with her.Janet is smart, experienced and deliberate. She doesn’t push the flawed narrative that financial crises are like natural disasters. She willingly engages on whether current regulations are effective, including with critics like me.No one person can bring about all the changes in laws, regulation and enforcement still needed to correct the financial system. But Janet Yellen matters a great deal. Her commitment and engagement give me hope.Admati is a finance and economics professor at Stanford and a co-author of The Bankers’ New Clothes: What’s Wrong With Banking and What to Do About It",http://time.com/3822773/janet-yellen-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/janet-yellen-time-100-2015-titans.jpg?quality=75&strip=color&w=1100
Danny Meyer,"On a late summer day in 1992, Danny Meyer and I sat down in Union Square Park to talk about a new kind of restaurant—one that married the warmest form of great service with soulful, indelible food. The result was Gramercy Tavern, a restaurant that ushered in a new era of American dining. But that day in the park we didn’t talk about menus or decor. We talked about how to make people on both sides of the table feel valued and cared for. How putting employees first would translate to a memorable experience for our guests.As Danny’s business has grown, from a single restaurant to a nearly $2 billion Shake Shack burger empire with outlets around the world, its core has never changed. It’s what has made him a leader in our industry. I’m proud to have been his partner and still proud to be his friend.Colicchio is a celebrated chef, television host and antihunger activist",http://time.com/3822803/danny-meyer-2015-time-100/,None
Lei Jun,"He wears casual shirts and jeans. He sells smartphones, presiding over glitzy, stage-managed unveilings of his new products. It’s no wonder that Lei Jun, the founder of the Chinese cell-phone maker Xiaomi, is often compared to Steve Jobs. Yet even the late Apple visionary couldn’t boast of expanding so swiftly within just five years of the company’s founding.During a single 12-hour period in April, Xiaomi sold 2.1 million phones online, boosting profits by eliminating middleman vendors. Critics contend that Lei’s low-cost handsets borrow too heavily from Apple. They may have a point—Xiaomi’s offerings include a Mi Note phone and a Mi Pad tablet. But investors aren’t worried. After another round of financing late last year, Xiaomi was valued at some $46 billion, earning Lei’s company the title of the world’s most valuable tech startup. It’s paid off for Lei, a multibillionaire who has become one of the richest people in China. But more important, Xiaomi is exactly the sort of disruptive tech company China needs as its economy tries to transition away from low-cost manufacturing.In Chinese, Xiaomi means “little rice.” Let the carb-loading begin.Beech is TIME‘s East Asia bureau chief",http://time.com/3822814/lei-jun-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/lei-jun-time-100-2015-titans.jpg?quality=75&strip=color&w=1100
Bob Iger,"Inheriting a legendary brand is both a burden and blessing. Bob Iger could have been haunted by the past, but he has instead created a powerhouse for the company’s future, diversifying the portfolio and yet not traducing the tradition.Hollywood is full of what are loosely called “characters,” a term that is sometimes merely a lousy excuse for bad behavior. But Bob is a thoughtful leader and an earnest individual, decent and dignified, farsighted and focused.The common theme running throughout the Disney businesses is family—whether it’s movies, television shows, theme parks, Broadway shows or cruises. They are beautifully and successfully integrated businesses. And there is no doubt ESPN is a juggernaut.Hollywood blinked when Bob spent $15 billion on Pixar, Lucasfilm and Marvel. But they turned out to be great and logical investments that have kept Disney on the front foot. Under Bob, Disney is hardly Frozen in time.Murdoch is the executive chairman of News Corp. and chairman and CEO of 21st Century Fox",http://time.com/3822742/bob-iger-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/bob-iger-time-100-2015-titans.jpg?quality=75&strip=color&w=814
Satya Nadella,"Satya Nadella is setting Microsoft up for greatness again. For decades, Microsoft had controlled the software world, but its grip slipped with the rise of mobile and cloud technologies. Though a longtime employee, Satya brought a fresh and almost revolutionary perspective to the CEO job, breaking with the past by building for new platforms first. In his short but impactful tenure, he has focused on driving openness where Microsoft was once closed, even when it has meant supporting competing services in the process. Changes that once would have been considered blasphemous—releasing open-source software, building on iOS and Android and even making Windows free in some cases—are turning Microsoft around. Satya is basically the star of one of those teen movies where the parents go out of town and the kid takes control of the place. And it’s been great.Levie is the CEO of Box",http://time.com/3822749/satya-nadella-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/satya-nadella-time-100-2015-titans.jpg?quality=75&strip=color&w=1100
Jorge Paulo Lemann,"I’d put Jorge Lemann in the top four or five smartest people I know on Wall Street. A few years back, his investment fund 3G Capital—the dealmakers behind the $28 billion buyout of Heinz in 2013—put a fair bit in our fund. Lemann and one of his associates, Alex Behring, had come over to my office to talk. It turns out Lemann spends some time in New York, and I said, “We should get together out in the Hamptons, hit a few balls.” I used to be a club tennis player, and I figured, I can give him a pretty good game. “We’ll bet on it!” I said. He’s a quiet guy, and he just smiled and said, “Perhaps.” And then Alex touched me on the arm and said, “I don’t think you want to do that.” “How come?” I asked. He said, “Well, he used to be one of the top players in the world.” So I quickly said, “Forget the betting!” Like I said, he’s a smart guy.Icahn is the majority shareholder in Icahn Enterprises",http://time.com/3822760/jorge-paulo-lemann-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/jorge-paulo-lemann-time-100-2015-titans-illustration.jpg?quality=75&strip=color&w=814
Misty Copeland,"Like all gymnasts, I’ve done some ballet—it’s a part of our program. And people don’t realize the tremendous amount of time and work you have to put in to do the maneuvers they do. Ballerinas like Misty Copeland look so beautiful and perfect, but it takes thousands of hours of hard work to make it look that easy.It was an honor to learn that a movie about me inspired a 7-year-old Misty to see the joy in movement. When I competed in the 1976 Olympics, no one thought that a 14-year-old from a place people couldn’t find on a map could contend. Misty proves that success is not about how you grow up or the color of your skin. Her story—of overcoming personal and physical challenges to become a soloist at the American Ballet Theatre—is the story of someone who followed her dreams and refused to give up. In that way, she is a model for all young girls.It doesn’t matter where you’re from. If you have the passion like Misty, you can be the best at what you do.Comaneci is a five-time Olympic gold medalistPick up the TIME 100 issue on newsstands, or click here to buy it online.",http://time.com/3823308/misty-copeland-2015-time-100/,None
Scott Kelly,"Scott Kelly’s yearlong mission aboard the International Space Station is indeed worthy of special note and attention. We need to know much more about human reaction to long-term spaceflight before any deeper exploratory missions can be planned. But what may be of greater significance to all of us here on Earth is research into the remarkable similarities between how the body changes in zero-G and how it changes as a result of ordinary aging. If we learn more about one, we could apply that same knowledge toward arresting both. We started this type of research when I returned to space in 1998, and I am very glad it is being continued with this mission. Scott’s willingness to devote a year of his life in cooperation with his identical twin brother Mark, who will remain on Earth, may have a profound impact on all of us.Former Senator Glenn was the first American to orbit the earth",http://time.com/3823314/scott-kelly-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/scott-kelly-time-100-2015-pioneers.jpg?quality=75&strip=color&w=1100
Emmanuelle Charpentier & Jennifer Doudna,"No one, not even a bacterium, likes being infected by a virus, and early in evolution, bacteria developed a way to destroy viruses with exquisitely precise attacks. Very recently, Emmanuelle Charpentier and Jennifer Doudna figured out the inner workings of this bacterial self-protection, and then, in a tour de force of elegant deduction and experiment, they developed a plug-and-play version of that approach. Their technique, CRISPR-Cas9, gives scientists the power to remove or add genetic material at will. Working with cells in a lab, geneticists have used this technology to cut out HIV, to correct sickle-cell anemia and to alter cancer cells to make them more susceptible to chemotherapy. With CRISPR-Cas9, a scientist could, in theory, alter any human gene. This is a true breakthrough, the implications of which we are just beginning to imagine.King is a geneticist and the discoverer of the BRCA1 cancer gene",http://time.com/3822554/emmanuelle-charpentier-jennifer-doudna-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/jennifer-emmannuelle-charpentier-doudna-time-100-2015-pioneers.jpg?quality=75&strip=color&w=1100
Brian Chesky,"Brian Chesky’s audacity is fabulous. He dares to believe that we shouldn’t be strangers, that we can have a sense of true belonging whenever, wherever we travel.With his remarkable startup, Airbnb, he saw a new way to build community through people’s innate desire to connect with the world around them. The service that Brian and his partners imagined is soaringly ambitious and utterly practical.As a designer (he graduated from the Rhode Island School of Design), his obsession with detail and practicality doesn’t confine or compromise his dreaming but rather makes what could so easily be noble but abstract ideas functional and real.Staying in someone else’s home is an intimate experience. It requires trust. Brian collaborates with designers, artists, architects, illustrators and engineers to take guests and hosts on a gentle but exhilarating journey, enabled by a site that is as beautiful as it is functional.Bringing people together is something of a passion for Brian, and with Airbnb he’s helped create millions of personal connections. That’s an achievement that even the best hotels in the world should envy.Ive is the senior vice president of design at Apple",http://time.com/3822568/brian-chesky-2015-time-100/,None
Jimmy Lai,"There are those who, when given the keys to wealth and the perks of the Establishment, choose not to rock the boat because of the backlash they might face. Jimmy Lai is not such a person.Though he went from a child laborer in a garment factory to owning his own clothing line and media company, he rejected complacency and the status quo when he chose to criticize a powerful government and support a primarily student-led democracy movement in his beloved Hong Kong.His courage in the face of the firebombing of his home, as well as his subsequent arrest for his role in challenging the ruling order, resonates around the world as an inspiration for those seeking self-determination. It was this kind of bravery that inspired me to mention the Hong Kong protests in my Oscar acceptance speech, and that reminds all of us to always strive to speak truth to power.Common is a hip-hop artist and Academy Award winner",http://time.com/3823046/jimmy-lai-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/jimmy-lai-time-100-2015-pioneers.jpg?quality=75&strip=color&w=1100
Emma Watson,"Emma Watson’s alter ego Hermione Granger would doubtless approve of her HeForShe campaign and its gutsy, smart take on feminism.It’s especially refreshing to see men invited to join the fight for gender equality, as Watson pointedly did in launching the U.N. effort last fall, telling the men that it’s “your issue too.”It’s also refreshing to see her vigorous embrace of feminism, which Watson defines as “the theory of political, economic and social equality of the sexes.” And apparently she lives by it. Although she is one of the world’s highest-paid actresses, she has spoken out about the paucity of female directors in Hollywood.Watson was only 9 when she auditioned for the part of Hermione, and she appeared in every Harry Potter film to the end. She followed Hogwarts with a degree in English literature from Brown University.Her HeForShe speech at Davos was an Internet sensation, but unsurprisingly, it drew the typical antifeminist rants and even some threats. Watson chose to highlight the moving letters she has received from fathers who tell her they are investing new hope in the future for their daughters. But she was also frank about the bullying tactics of her detractors and one site that made an empty threat to release nude photos. Her confident and cool reaction: “If they were trying to put me off, they did the opposite.”Abramson, the former executive editor of the New York Times, is writing a book about the news business",http://time.com/3823057/emma-watson-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/emma-watson-time-100-2015-pioneers.jpg?quality=75&strip=color&w=1100
Vikram Patel,"It is hard to imagine a more difficult challenge than addressing the unmet needs of those from resource-poor countries who live with and suffer from mental-health disorders. And yet Vikram Patel has spent his career doing just that. Some champions of the underserved have a handful of talents on which they rely to maintain their momentum and sustain their efforts. Fortunately for those who are the most vulnerable and the most misunderstood, Patel has many. He is a gifted psychiatrist, a dedicated researcher, a successful author of books and academic papers, and he is an effective communicator. In fact, he seems to have an unending supply of these critical skills. And as a co-founder of the NGO Sangath and the Centre for Global Mental Health at the London School of Hygiene and Tropical Medicine, he helps spread the simple yet profound idea of mental health for all. He provides hope that mental illness and trauma make us neither weak nor unworthy of love and respect.Van Dahlen is a psychologist and the founder of Give an Hour, a network of volunteer mental-health professionals, as well as the Campaign to Change Direction",http://time.com/3822953/vikram-patel-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/vikram-patel-time-100-2015-pioneers.jpg?quality=75&strip=color&w=814
Pardis Sabeti,"When the Ebola epidemic began in West Africa, Dr. Pardis Sabeti led a team that did something critically important: it sequenced virus samples from infected patients almost as soon as the outbreak began. This marked the first in-depth use of real-time DNA sequencing in the midst of such a deadly pandemic. Pardis and her team were able to work out clearly that the virus was spreading human to human—not from mosquito bites or some pig vector or something else. There were so many theories out there, but her work proves that there’s nothing like real data to get rid of myths and guesses and get down to the facts. Many of her scientific collaborators died during this outbreak. This is high-risk research, but it ended up saving a lot of lives too. There is no excuse not to do this kind of work with every outbreak that ever occurs in the future.Venter, a biologist, was one of the first scientists to sequence the human genome",http://time.com/3822958/pardis-sabeti-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/sabeti-pardis-time-100-2015.jpg?quality=75&strip=color&w=1100
Reese Witherspoon,"Reese Witherspoon’s portrayal of Cheryl Strayed in Wild was my favorite performance of any actor in any movie last year, or any year, for as long as I can remember. It was especially powerful because it was so risky. Virtually every character Reese has played could be described as “plucky” and “likable,” but here was a troubled and heartbroken woman doing things we so rarely get to see women do onscreen, and she was still plucky and likable.But the reason Reese is on this list is that she is no longer just a talented and famous actress. She is an icon. Yes, she is beautiful, and I would buy any lipstick or bottled water she is selling. Hell, I’d buy cigarettes if her picture were on the pack. But that’s not it (even though I think she could make a lot of money doing that). Reese is an artist, but she is also a hustler, a quality I recognized in her the first time I met her. She’s impatient that Hollywood won’t generate the kind of quality roles she wants to play, so she creates quality roles by creating quality movies. That resourcefulness is what makes her someone I not only admire, but someone who inspires me. And that is influence.Kaling is the creator and star of The Mindy Project",http://time.com/3822959/reese-witherspoon-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/reese-witherspoon-time-100-2015-pioneers.jpg?quality=75&strip=color&w=814
Bryan Stevenson,"When I first heard Bryan Stevenson speak, I found myself admiring the way his gentle voice pulls you in to listen that much closer to the power behind his every word. But I imagine his mild manner is as much about delivering a clear message as it is his own way of conserving energy—for no one knows the steady pace that must be maintained on the long road to equality more than Bryan. For decades, he has dedicated himself to fighting poverty and challenging racial discrimination in the criminal-­justice system with the perfect combination of unwavering passion and idealism.Through the Equal Justice Initiative, which he founded in 1989, Bryan has combatted excessive and unfair sentencing, exonerated innocent prisoners on death row, challenged the abuse of the incarcerated and mentally ill, aided children prosecuted as adults and litigated on behalf of the poor as well as those whose race denied them a fair trial. This year, his organization’s report on lynchings of African Americans in the Jim Crow South documented at least 700 previously unknown victims.It is Bryan’s belief that every person is more than the worst thing they’ve ever done, which is a lesson to so many that forgiveness is a necessary means to achieving equality for all.Williams is the No. 1 women’s tennis player in the world",http://time.com/3823265/bryan-stevenson-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/bryan-stevenson-time-100-2015-pioneers.jpg?quality=75&strip=color&w=814
Chai Jing,"Chai Jing’s 2015 documentary on pollution, Under the Dome, is one of the most important pieces of environmental awareness building ever in China. Her very personal and powerful story is one that millions of people in China can relate to, which points to the reason it was viewed 200 million times just days after it was first broadcast. Her background as an investigative reporter shines through as she weaves together complex scientific and policy issues into a coherent and compelling narrative that has empowered ordinary Chinese to join a policy debate for the first time. In fact, the documentary has made even those who are cynical and indifferent express their desire to join the fight against pollution. Such vast public support, if properly harnessed, could play a profound role in China’s crucial but challenging drive toward sustainability over the next 20 years.Ma is a Chinese environmentalist and journalist",http://time.com/3823269/chai-jing-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/jing-chai-time-100-2015-pioneers.jpg?quality=75&strip=color&w=1100
Magnus MacFarlane-Barrow,"Scotland boasts great missionary heroes, including David Livingstone and Eric Liddell of Chariots of Fire fame. Now Magnus MacFarlane-Barrow is following in their footsteps.His organization, Mary’s Meals, will soon be feeding 1 million schoolchildren across 12 countries every day.His work began in Bosnia, but a visit to Malawi, where a child told him his dream was having enough to eat, cemented his mission: to get thousands of girls and boys to come to school by providing a meal.The impact has been breathtaking. Attendance figures have risen, by as much as 50% in some areas. And Magnus is right behind the ­#UpForSchool petition to get 58 million out-of-school children ages 6 to 11 into education.This quiet-spoken father of seven won’t rest while there are children to feed and to educate and to give a chance in life.Brown is the U.N. special envoy for global education and a former U.K. Prime Minister",http://time.com/3823271/magnus-macfarlane-barrow-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/magnus-macfarlane-barrow-time-100-2015-pioneers.jpg?quality=75&strip=color&w=814
Kira Orange Jones,Isaacson is the CEO of the Aspen Institute and a chair emeritus of Teach for America. He was the vice chair of the Louisiana Recovery Authority,http://time.com/3822936/kira-orange-jones-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/kira-orange-jones-time-100-2015-pioneers.jpg?quality=75&strip=color&w=1100
Aura Elena Farfán,"I visited Guatemala recently to do some work with forensic investigators and while there met with people whose family members had been buried in a recently exhumed mass grave. Supporting the families, as she so often is, was Aura Elena Farfán. Since the Guatemalan military abducted her brother in 1984, Aura Elena has been fighting for justice for the relatives of the tens of thousands who were disappeared or killed during the civil war. She is the founder of FAMDEGUA, an NGO that assists families in their search. Aura Elena has shown remarkable courage—and she gets results. Some of the former soldiers who committed the massacre at the village of Las Dos Erres in 1982—which Aura Elena has been investigating for many years—are now behind bars. She is an inspiration.Bernabeu is an international attorney at the Center for Justice & Accountability",http://time.com/3822942/aura-elena-farfan-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/aura-elena-farfan-time-100-2015-pioneers.jpg?quality=75&strip=color&w=814
Martin Blaser,"As a scientist and author, Dr. Martin Blaser is an incredibly important voice on the consequences of our rampant overuse of antibiotics. Right now, 80% of antibiotics sold in the U.S. are used on mostly healthy animals on factory farms. Over time, this has caused routine bacteria to mutate into untreatable superbugs, putting human lives at risk. Some food companies have responded to public pressure and taken action, but too many in Washington refuse to lift a finger to protect antibiotics, instead bowing to industries that profit from maintaining the status quo. This is why we need people outside the government structure to move the conversation forward. Blaser’s work is a stunning dose of reality in an environment flooded with corporate-agenda-fulfilling pseudoscience. If you care about your health and the future of medicine, read Blaser’s book, Missing Microbes: How the Overuse of Antibiotics Is Fueling Our Modern Plagues.Slaughter is a U.S. Congresswoman and a microbiologist",http://time.com/3822950/martin-blaser-2015-time-100/,https://timedotcom.files.wordpress.com/2000/04/dr-martin-blaser-time-100-2015-pioneers.jpg?quality=75&strip=color&w=814
